-14,-14
-33,-33
004,-24
044,044
041,-03
-27,-27
-33,-33
004,-04
004,-04
002,-03
017,017
051,051
048,-37
-67,-67
004,-69
067,067
079,079
004,-49
-43,-43
028,-13
025,025
009,-05
020,-03
019,019
002,-23
005,-27
052,052
066,066
022,-49
-83,-83
053,-51
059,059
046,-36
-40,-40
029,-32
033,033
007,-01
-13,-13
027,-09
028,028
016,-29
-28,-28
034,-05
020,-36
-36,-36
022,-25
045,045
047,-20
-36,-36
019,-24
060,060
027,-54
-54,-54
032,-36
035,035
023,-08
015,-05
011,-06
-19,-19
019,-08
018,018
004,-09
009,000
012,012
008,-01
015,015
014,-23
-33,-33
-33,-33
032,000
032,032
020,-13
002,-14
005,005
000,-17
018,-05
024,-08
-22,-22
014,-04
022,022
000,-23
000,-26
021,021
016,016
005,005
002,-07
007,-04
017,017
008,-03
-08,-08
-07,-07
004,-05
020,020
015,-02
-19,-19
013,-18
017,017
014,-01
-10,-10
-09,-09
016,-01
018,018
009,-07
-06,-06
009,-03
012,012
005,-15
-15,-15
016,-05
016,016
006,-08
003,-13
016,016
015,-10
-13,-13
011,-07
010,-06
-09,-09
002,-06
005,005
010,010
013,000
-09,-09
-10,-10
012,-01
008,-03
-12,-12
002,-07
008,008
008,008
010,010
009,-07
-09,-09
001,-02
007,007
008,008
007,007
000,-04
001,-02
003,-06
-07,-07
005,-06
007,007
008,008
003,-09
003,-08
004,004
008,-06
013,013
013,013
001,-10
-09,-09
007,-03
009,009
005,005
002,000
-07,-07
012,-11
019,019
005,-06
-12,-12
004,-05
008,008
004,-02
-03,-03
000,-04
001,-04
014,014
014,-08
-09,-09
009,-05
010,-08
-11,-11
010,-10
009,009
008,-02
-05,-05
004,-03
010,010
005,000
-09,-09
011,-09
011,011
006,-11
000,-10
004,004
009,009
006,-02
-15,-15
011,-05
011,011
008,-03
006,-01
005,-01
006,-03
006,006
005,-04
001,-05
003,003
003,-02
004,-02
013,013
013,-10
-11,-11
008,-06
007,007
000,-04
007,-04
005,-03
002,-04
002,000
002,002
003,-04
008,-06
012,012
011,-04
-04,-04
005,-05
007,-01
